Title,Price($),Address,Date Posted,Building Type,Bedrooms,Bathrooms,Utilities,Wi-Fi and More,Parking Included,Agreement Type,Move-In Date,Pet Friendly,Size (sqft),Furnished,Air Conditioning,Personal Outdoor Space,Smoking Permitted,Appliances,Amenities,Description,Visit Counter,url
2 bedrooms Apartment for Rent - 245 Howland Avenue,2799,"245 Howland Avenue, Toronto, ON, M5R 3B7",2024-03-13 14:22:05,Apartment,2,1,,Not Included,0,1 Year,,Yes,Not Available,No,No,Not Included,No,,,,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedrooms-apartment-for-rent-245-howland-avenue/1683272085
Davisville Village Apartments - 2 Bdrm available at 141 Davisvil,2925,"141 Davisville Avenue, Toronto, ON, M4S 2Y9",2024-03-13 14:15:43,Apartment,2,1,,Not Included,0,1 Year,,No,Not Available,No,No,Not Included,No,,,Visit our Website: https://www.rpmsi.ca/property/davisville-village-apartments-141-davisville/,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/davisville-village-apartments-2-bdrm-available-at-141-davisvil/1686716361
"17 Raglan - Raglan Gardens-1 Bedroom, 1 Bathroom Apartment for R",2200,"17 Raglan, Toronto, ON, M6C 2K8",2024-03-05 14:21:44,Apartment,1,1,,Not Included,0,1 Year,,Yes,529,No,No,Not Included,No,Fridge / Freezer,,"Welcome to Raglan Gardens, a luxury high rise apartment with suites available in the family friendly St. Clair West neighbourhood of Toronto.Our modernized bachelor, one, and two bedroom suites offer sleek comfortable spaces with attractive vinyl plank flooring throughout. All suites indulge both comfort and convenience with new stainless steel appliances including dishwashers and microwaves, beautiful bathrooms, and balconies offering residents a private outdoor space. Additionally, this impressive apartment building includes modern laundry facilities, new security & fob system,  and engaging community events.Steps from Bathurst Street, residents of Raglan Gardens are conveniently close to shopping, grocers, pharmacies, and an array of popular restaurants. Nature enthusiasts will love living close to several parks including Wells Hill Park and playground, and two ravines with trails and greenspace to explore. This Cedarvale location also offers residents a quick commute with bus, streetcar, and subway stops minutes away. Monitored Security CamerasOn-Site Professional ManagementParking AvailablePet FriendlyStorage lockers nullBuilding OverivewWelcome to Raglan Gardens, a luxury high rise apartment with suites available in the family friendly St. Clair West neighbourhood of Toronto.Our modernized bachelor, one, and two bedroom suites offer sleek comfortable spaces with attractive vinyl plank flooring throughout. All suites indulge both comfort and convenience with new stainless steel appliances including dishwashers and microwaves, beautiful bathrooms, and balconies offering residents a private outdoor space. Additionally, this impressive apartment building includes modern laundry facilities, new security & fob system,  and engaging community events.Steps from Bathurst Street, residents of Raglan Gardens are conveniently close to shopping, grocers, pharmacies, and an array of popular restaurants. Nature enthusiasts will love living close to several parks including Wells Hill Park and playground, and two ravines with trails and greenspace to explore. This Cedarvale location also offers residents a quick commute with bus, streetcar, and subway stops minutes away.",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/17-raglan-raglan-gardens-1-bedroom-1-bathroom-apartment-for-r/1675567882
Open House - Gorgeous Newly Built Suites ready for occupancy!,2550,"46 Panorama Court, Toronto, ON, M9V 4A4",2024-03-07 00:41:40,Apartment,1,1,"Hydro_No,Heat_Yes,Water_No",Not Included,0,1 Year,,Yes,Not Available,No,Yes,Balcony,No,Laundry (In Building),"Gym, Elevator in Building",,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/open-house-gorgeous-newly-built-suites-ready-for-occupancy/1682801754
Newly Designed 1 Bdrm. for Rent  - Woodbine/Gerrard East,2340,"763 Woodbine Avenue, Toronto, ON, M4E 2J4",2024-02-26 21:54:04,Apartment,1,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,,Yes,Not Available,No,Yes,Balcony,No,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Elevator in Building","Newly designed, smoke-free, contemporary living awaits at BEACHHILL Apartments; perfectly located in the heart of the Upper Beaches community at Woodbine Avenue and Gerrard Street East. This neighbourhood features a great selection of restaurants, grocery stores, cafes and pubs. The TTC street car is at our doorstep and we are minutes away from the Woodbine Subway Station. All these services compliment your bright and airy living space. Embrace good health with our state-of-the-art fitness facility and enjoy our outdoor terrace with multiple barbecues and lounge space. This vibrant Toronto neighbourhood will fulfill your every need.",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/newly-designed-1-bdrm-for-rent-woodbine-gerrard-east/1686542799
Brand New 2-bedroom Rental in North York!  York Mills Rd. & DVP!,2690,"1225 York Road, Toronto, ON, M3A 1Y4",2024-03-04 00:39:41,Apartment,2,1,,Not Included,0,1 Year,,Yes,Not Available,No,Yes,Balcony,Yes,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Bicycle Parking, Storage Space, Elevator in Building","Realstar's ONE225 York Mills is North Yorks newest apartment rentals in the Parkwoods-Donalda area of Toronto, just south of the 401. This condo-styled property offers 100% smoke-free living; perfectly located at York Mills Road and the Don Valley Parkway. ONE225 York Mills offers stylish one, two, two-plus den, three and three-plus den suites. Enjoy our first-class amenities designed to provide you and your guest with an extraordinary, carefree lifestyle experience. We cannot wait to welcome you home!",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/brand-new-2-bedroom-rental-in-north-york-york-mills-rd-dvp/1679403688
Live on the main floor of a modern house in Little Italy!,2799,"Ossington Ave, Toronto, ON M6G 3T3",2024-03-13 16:08:52,Apartment,2,1,,Not Included,1,1 Year,"May 1, 2024",Yes,"1,000",No,Yes,YardBalcony,No,"Laundry (In Unit), Dishwasher, Fridge / Freezer",Storage Space,"Luxurious two-bedroom apartment on entire main floor of Little Italy house built in 2011. Pets and humans will enjoy the attractive fenced backyard opening from the rear bedroom. High ceilings, quiet bedrooms, new kitchen with new dishwasher, range and fridge, plus private free washer and dryer. New four-piece bathroom. Central air. Two large closets. Private deck at rear. Quiet pets welcome. No smoking. Luxuriate in the sunlight that pours into this modern downtown refuge, three blocks from the Ossington subway station, one block from the College streetcar and right on the Ossington bus route. Parks, grocery stores and restaurants are seconds away in one of Toronto's trendiest neighbourhoods! May 1 occupancy. $2799 including parking, plus $199 for utilities. Contact Jeff today!",2 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/live-on-the-main-floor-of-a-modern-house-in-little-italy/1688111482
"New Two-Bedroom Townhome Rentals- Move In Now, Pay Later",2949,"15 Brenthall Avenue, North York, ON, M2R 1N1",2024-03-13 16:07:44,Apartment,2,1,,Not Included,0,1 Year,,Yes,Not Available,No,Yes,Balcony,Outdoors only,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Bicycle Parking, Storage Space","Move In Now, Don't Pay Until May 1stOpen House March 16th 11:00am-1:00pm",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/new-two-bedroom-townhome-rentals-move-in-now-pay-later/1678163687
Main flr of new house w yard & parking in Little Italy; May 1,2799,"Ossington Ave, Toronto, ON M6G 3T3",2024-03-13 16:04:03,Apartment,2,1,,Not Included,1,1 Year,"May 1, 2024",Yes,"1,000",No,Yes,YardBalcony,No,"Laundry (In Unit), Dishwasher, Fridge / Freezer",Storage Space,"Luxurious two-bedroom apartment on entire main floor of Little Italy house built in 2011. Pets and humans will enjoy the attractive fenced backyard opening from the rear bedroom. High ceilings, quiet bedrooms, new kitchen with new dishwasher, range and fridge, plus private free washer and dryer. New four-piece bathroom. Central air. Two large closets. Private deck at rear. Quiet pets welcome. No smoking. Luxuriate in the sunlight that pours into this modern downtown refuge, three blocks from the Ossington subway station, one block from the College streetcar and right on the Ossington bus route. Parks, grocery stores and restaurants are seconds away in one of Toronto's trendiest neighbourhoods! May 1 occupancy. $2799 including parking, plus $199 for utilities. Contact Jeff today!",1 visit,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/main-flr-of-new-house-w-yard-parking-in-little-italy-may-1/1688110986
2 bedroom basement for rent,2500,"Dalbeattie Ave, North York, ON M9N 2Y6",2024-03-13 16:03:33,Basement,2,1,,Not Included,1,1 Year,"April 1, 2024",Limited,800,No,Yes,Not Included,No,,,"Available Immediately! Beautiful, Newly Renovated 2 Bedroom Basement Apartment For Lease In The Convenient Location Of Pelmo Park! Just A Few Steps To Ttc Bus Stop, Parks, Malls, Shopping, Restaurants And Schools. Easily Access 400 And 401 Highways! Heat And Water Already Included In The Rent!",5 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-basement-for-rent/1688110939
